task_id,質問文,課題種別,正解件数,A_NFC_Top1,A_NFC_R@10,A_NFC_MRR,A_NFC_ゼロ件,A_NFC_圏外,A_NFC_上位10件,A_NFD_Top1,A_NFD_R@10,A_NFD_MRR,A_NFD_ゼロ件,A_NFD_圏外,A_NFD_上位10件,C1_Top1,C1_R@10,C1_MRR,C1_ゼロ件,C1_圏外,C1_上位10件,C2_Top1,C2_R@10,C2_MRR,C2_ゼロ件,C2_圏外,C2_上位10件,C3_NFC_Top1,C3_NFC_R@10,C3_NFC_MRR,C3_NFC_ゼロ件,C3_NFC_圏外,C3_NFC_上位10件,C3_NFD_Top1,C3_NFD_R@10,C3_NFD_MRR,C3_NFD_ゼロ件,C3_NFD_圏外,C3_NFD_上位10件
T011,ミカド精機の工場監査で出た是正要求の内容が分かる資料は？,通常,1,1,1.0,1.0,0,0,,0,1.0,0.5,0,0,,0,0.0,0.0,1,1,,1,1.0,1.0,0,0,A022,1,1.0,1.0,0,0,A022|D007|A037|G001|A008|A027|D022|A035|G022|D023,1,1.0,1.0,0,0,A022|D007|A037|G001|A008|A032|D022|A035|D023|D024
T012,アオバ物流の窓口担当者の名前が分かる引き継ぎ資料を探して,通常,1,0,0.0,0.0,0,1,,0,0.0,0.0,0,1,,0,0.0,0.0,1,1,,1,1.0,1.0,0,0,A024,0,1.0,0.1,0,0,A027|f61|D007|A003|A008|A023|A035|A031|D022|A024,0,0.0,0.0,0,1,A007|f61|D007|A031|A008|A035|D022|D023|D024|D021
T013,ブランドカラーの色コードが載っている資料はどれ？,通常,1,0,0.0,0.0,0,1,,0,0.0,0.0,0,1,,0,0.0,0.0,1,1,,1,1.0,1.0,0,0,A016,0,0.0,0.0,0,1,D007|A008|A035|D022|D023|D024|D021|D019|D011|D012,0,0.0,0.0,0,1,D007|A008|A035|D022|D023|D024|D021|D019|D011|D012
T014,ファイルサーバーの保守切れ時期とリプレース見積額が分かる資料は？,通常,1,0,0.0,0.0,0,1,,0,0.0,0.0,0,1,,1,1.0,1.0,0,0,A005,1,1.0,1.0,0,0,A005,1,1.0,1.0,0,0,A005|A026|D007|A024|A008|A035|D022|D023|D024|D021,0,0.0,0.0,0,1,A026|D007|A024|A008|A035|D022|D023|D024|D021|D019
T015,倉庫Bの月額賃料が分かる契約書を探して,通常,1,0,1.0,0.25,0,0,,0,1.0,0.25,0,0,,1,1.0,1.0,0,0,A034,1,1.0,1.0,0,0,A034,0,1.0,0.5,0,0,G005|A034|A033|G003|A032|G001|A004|A031|G012|G016,0,1.0,0.5,0,0,G005|A034|A033|G003|A032|G001|A004|A031|G012|G016
T016,KODAMAのAPI仕様書で、レート制限について書かれたページを開いて,通常,1,0,1.0,0.5,0,0,,0,1.0,0.5,0,0,,1,1.0,1.0,0,0,A011,1,1.0,1.0,0,0,A011|X002,1,1.0,1.0,0,0,A011|D025|X002|f59,1,1.0,1.0,0,0,A011|X002
T017,バックアップ手順書で、保存期間が書かれたページは？,通常,1,0,0.0,0.0,1,1,,0,0.0,0.0,1,1,,1,1.0,1.0,0,0,A012,1,1.0,1.0,0,0,A012|A017,1,1.0,1.0,0,0,A012|D025|f59,1,1.0,1.0,0,0,A012
T018,入退室管理規程で、機械室の入室ルールのページを開いて,通常,1,1,1.0,1.0,0,0,,1,1.0,1.0,0,0,,1,1.0,1.0,0,0,A013,1,1.0,1.0,0,0,A013|G024,1,1.0,1.0,0,0,A013|D025|G024|f59,1,1.0,1.0,0,0,A013|G024
T019,経費精算マニュアルで、5万円を超える経費の扱いが書かれたページは？,通常,1,1,1.0,1.0,0,0,,1,1.0,1.0,0,0,,0,0.0,0.0,1,1,,1,1.0,1.0,0,0,A014|X003,1,1.0,1.0,0,0,A014|A030|D025|X003|f59,1,1.0,1.0,0,0,A014|A030|X003
T020,撮影機材の手順書で、バッテリー保管のルールのページを開いて,通常,1,1,1.0,1.0,0,0,,1,1.0,1.0,0,0,,1,1.0,1.0,0,0,A015,1,1.0,1.0,0,0,A015,1,1.0,1.0,0,0,A015|A012|A021|D025|A017|A013|f59|A018|X003,1,1.0,1.0,0,0,A015|A012|A021|A017|A013|A018|X003
T021,ブランドガイドラインで、ロゴの最小サイズが書かれたページは？,通常,1,0,0.0,0.0,1,1,,1,1.0,1.0,0,0,,1,1.0,1.0,0,0,A016,1,1.0,1.0,0,0,A016,1,1.0,1.0,0,0,A016|D025|f59,1,1.0,1.0,0,0,A016
T022,BCP手順書で、代替拠点がどこか書かれたページを開いて,通常,1,0,0.0,0.0,1,1,,0,0.0,0.0,1,1,,1,1.0,1.0,0,0,A017,1,1.0,1.0,0,0,A017,1,1.0,1.0,0,0,A017|D025|f59,1,1.0,1.0,0,0,A017
T023,個人情報取扱規程で、開示請求への回答期限のページは？,通常,1,1,1.0,1.0,0,0,,1,1.0,1.0,0,0,,1,1.0,1.0,0,0,A018,1,1.0,1.0,0,0,A018,1,1.0,1.0,0,0,A018|D025|f59,1,1.0,1.0,0,0,A018
T024,アオバ物流との基本契約書で、再委託の条項があるページを開いて,通常,1,0,0.0,0.0,1,1,,0,1.0,0.5,0,0,,0,0.0,0.0,1,1,,1,1.0,1.0,0,0,A031,0,1.0,0.5,0,0,A027|A031|A032|D025|A003|f59|A023|A024,0,1.0,0.5,0,0,A007|A031|A032
T025,ミカド精機向けの検査基準書で、抜取検査の基準のページは？,通常,1,1,1.0,1.0,0,0,,1,1.0,1.0,0,0,,1,1.0,1.0,0,0,A037,1,1.0,1.0,0,0,A037,1,1.0,1.0,0,0,A037|D025|A029|f59|f58,1,1.0,1.0,0,0,A037|A029|f58
T041,ミカド精機に関係するファイルをすべて挙げて,通常,3,0,0.0,0.0,1,1,,1,1.0,1.0,0,0,,1,0.3333,1.0,0,0,A037|A027|G022,1,1.0,1.0,0,0,A032|A037|G022|A022|A027,1,1.0,1.0,0,0,A022|f245|A037|A005|A027|A036|G022|A011|A032|X002,1,1.0,1.0,0,0,A022|f245|A037|A005|A032|A036|A011|X002
T042,退職した伊藤さんに関係する引き継ぎファイルを探して,通常,3,1,0.6667,1.0,0,0,,1,0.6667,1.0,0,0,,1,0.3333,1.0,0,0,A036,1,0.6667,1.0,0,0,A024|A036,1,0.6667,1.0,0,0,A036|A024|f245|A005|A011|X002,1,0.6667,1.0,0,0,A036|A024|f245|A005|A011|X002
T043,倉庫Bに関するファイル（契約・在庫・図面・写真）を横断で集めて,通常,16,0,0.1875,0.1667,0,0,,0,0.1875,0.1667,0,0,,1,0.0625,1.0,0,0,G001,1,0.5625,1.0,0,0,G019|G003|G016|G012|G005|A029|G026|A034|G001,1,0.25,1.0,0,0,G005|f245|A033|G019|G006|G029|G003|A005|A032|A029,1,0.25,1.0,0,0,G005|f245|A033|G019|G006|G029|G003|A005|A032|A029
T044,2026年に締結した契約書（模擬）を全部挙げて,通常,4,0,0.75,0.2,0,0,,0,0.75,0.2,0,0,,0,0.0,0.0,1,1,,1,1.0,1.0,0,0,A031|A032|A033|A034,0,0.75,0.5,0,0,D007|A033|A008|A021|A032|A012|D022|A034|A035|D023,0,0.75,0.5,0,0,D007|A033|A008|A021|A032|A012|D022|A034|A035|D023
T045,画像のうち「図面」だけを絞り込んで表示して,通常,15,0,0.0,0.0,0,1,,0,0.0,0.0,0,1,,1,0.3333,1.0,0,0,G015|G011|G010|G009|G001,1,0.2,1.0,0,0,G003|G002|G008,0,0.2667,0.5,0,0,f250|G006|f243|f251|G005|f48|f248|G003|f245|G004,0,0.2667,0.5,0,0,f250|G006|f243|f251|G005|f48|f248|G003|f245|G004
T046,福岡支店の賃貸契約書はある？,不在確認,0,,,,1,,,,,,1,,,,,,1,,,,,,0,,A034,,,,1,,,,,,1,,
T047,プロジェクトSAKURAに関する資料を探して,不在確認,0,,,,0,,,,,,0,,,,,,1,,,,,,1,,,,,,0,,D007|A008|A035|D022|D023|D024|D021|D019|D011|D012,,,,0,,D007|A008|A035|D022|D023|D024|D021|D019|D011|D012
T048,2025年度の予算管理表はある？,不在確認,0,,,,0,,,,,,0,,,,,,1,,,,,,1,,,,,,0,,f57|A025|X005,,,,0,,f57|A025|X005
T049,クスノキ建設と締結した秘密保持契約はある？,不在確認,0,,,,0,,,,,,0,,,,,,1,,,,,,1,,,,,,0,,A032,,,,0,,A032
T050,ドローンの飛行許可申請書を探して,不在確認,0,,,,1,,,,,,0,,,,,,0,,A019|A026|X004,,,,1,,,,,,0,,A019|A026|X004,,,,0,,A019|X004
