drive_id,file_id,名前乖離,タグ,判定,判定根拠,ゴールド記述内に文字列出現
119,G028,あり,撮影スタジオ,TP,本文またはゴールド記述に支持される,1
119,G028,あり,見学,TP,本文またはゴールド記述に支持される,1
119,G028,あり,現場写真,TP,本文またはゴールド記述に支持される,1
119,G028,あり,ミニマルデザイン,TP,本文またはゴールド記述に支持される,0
119,G028,あり,幾何学模様,FP,画像は単色の矩形3つのみで、模様と呼べる反復要素はない,0
110,G030,あり,現場写真,TP,本文またはゴールド記述に支持される,1
110,G030,あり,屋上,TP,本文またはゴールド記述に支持される,1
110,G030,あり,防水状況確認,TP,本文またはゴールド記述に支持される,0
110,G030,あり,報告書,FP,画像はプレースホルダーであり、報告書であるとの根拠は画像内にない,0
110,G030,あり,メンテナンス,TP,本文またはゴールド記述に支持される,0
110,G030,あり,プレースホルダー,TP,本文またはゴールド記述に支持される,0
70,X002,なし,KODAMA API,TP,本文またはゴールド記述に支持される,0
70,X002,なし,REST API,TP,本文またはゴールド記述に支持される,0
70,X002,なし,認証,TP,本文またはゴールド記述に支持される,0
70,X002,なし,ファイルアップロード,TP,本文またはゴールド記述に支持される,0
70,X002,なし,検索API,TP,本文またはゴールド記述に支持される,0
70,X002,なし,エラーコード,TP,本文またはゴールド記述に支持される,0
70,X002,なし,レート制限,TP,本文またはゴールド記述に支持される,0
72,X004,なし,ドローン,TP,本文またはゴールド記述に支持される,0
72,X004,なし,点検市場,TP,本文またはゴールド記述に支持される,0
72,X004,なし,インフラ点検,TP,本文またはゴールド記述に支持される,0
72,X004,なし,市場規模,TP,本文またはゴールド記述に支持される,0
72,X004,なし,市場予測,TP,本文またはゴールド記述に支持される,0
72,X004,なし,橋梁点検,TP,本文またはゴールド記述に支持される,0
