drive_id,file_id,名前乖離,種別,言明番号,言明,判定,判定根拠
159,D003,なし,docx,3,特記事項をまとめている,正,本文「特記事項: 特になし」
160,D004,なし,docx,1,営業部の週報である,正,本文「営業部 週報」
160,D004,なし,docx,2,定例訪問・資料作成・社内打合せの実施状況が報告されている,正,本文「定例訪問4件、資料作成、社内打合せ」
169,D007,なし,docx,1,企画部の週報である,正,本文「企画部 週報」
169,D007,なし,docx,2,定例訪問・資料作成・社内打合せが記載されている,正,本文「定例訪問1件、資料作成、社内打合せ」
172,D010,なし,docx,1,企画部における1週間の業務活動を記録した週報である,正,本文「企画部 週報」
172,D010,なし,docx,2,業務活動が定例訪問・資料作成・社内打合せである,正,本文「定例訪問4件、資料作成、社内打合せ」
164,D014,なし,docx,1,開発部の週報である,正,本文「開発部 週報」
164,D014,なし,docx,2,定例訪問・資料作成・社内打合せなどの実施状況が記されている,正,本文「定例訪問2件、資料作成、社内打合せ」
165,D015,なし,docx,1,開発部における一週間の業務活動内容を報告する週次報告書である,正,本文「開発部 週報」
177,D021,なし,docx,1,総務部の週報である,正,本文「総務部 週報」
177,D021,なし,docx,2,定例訪問の件数・資料作成・社内打合せの実施状況が記載されている,正,本文「定例訪問3件、資料作成、社内打合せ」
180,D024,なし,docx,1,総務部の週報である,正,本文「総務部 週報」
180,D024,なし,docx,2,定例訪問・資料作成・社内打合せなどの業務実績が記載されている,正,本文「定例訪問6件、資料作成、社内打合せ」
148,D034,なし,pdf,1,2026年10月分の業務委託料に関する模擬的な請求書である,正,本文「請求書（模擬） 2026年10月分」「業務委託料 2026年10月分」
148,D034,なし,pdf,2,"金額は一式550,000円（税込）である",正,"本文「一式 550,000円（税込・模擬）」"
148,D034,なし,pdf,3,支払期限は翌月末である,正,本文「支払期限: 翌月末」
153,D036,あり,pdf,1,2026年12月分の業務委託料に関する模擬の請求書である,正,本文「請求書（模擬） 2026年12月分」。ファイル名スキャン_0012.pdfからは月が判別できず、本文から正しく取得している
131,D042,なし,docx,1,第6回定例会議のアジェンダである,正,本文「定例会議アジェンダ 第6回」
131,D042,なし,docx,2,前回の宿題の確認が議題である,正,本文「1. 前回宿題の確認」
131,D042,なし,docx,3,進捗状況の共有が議題である,正,本文「2. 進捗共有」
131,D042,なし,docx,4,その他の連絡事項が議題である,正,本文「3. その他」
85,D049,なし,xlsx,1,2026年3月時点の製品在庫状況の資料である,正,本文表題「在庫 2026-03」
85,D049,なし,xlsx,2,水質センサと通信モジュールの具体的な在庫数が記載されている,正,本文「水質センサーユニット236／通信モジュール135」
87,D051,なし,xlsx,1,2026年5月時点の在庫状況を記録した文書である,正,本文表題「在庫 2026-05」
87,D051,なし,xlsx,2,水質センサと通信モジュールの具体的な在庫数が記載されている,正,本文「水質センサーユニット260／通信モジュール145」
92,D055,あり,docx,1,旧サーバーから退避されたメモである,正,本文「（旧サーバーからの退避分。内容は簡略）」
92,D055,あり,docx,2,第3回定例会議のメモである,未確認,本文表題は「旧定例会議メモ 3」。連番の3を「第3回」と解釈しているが本文に回次の記載はない
92,D055,あり,docx,3,進捗共有と課題確認が行われた簡略な記録である,正,本文「進捗共有と課題確認を実施」
94,D057,あり,docx,1,旧サーバーから移行された定例会議の簡略化されたメモである,正,本文「（旧サーバーからの退避分。内容は簡略）」
94,D057,あり,docx,2,進捗の共有と課題の確認が行われたことが記録されている,正,本文「進捗共有と課題確認を実施」
97,D060,あり,docx,1,旧サーバーから退避された定例会議の簡略なメモである,正,本文「（旧サーバーからの退避分。内容は簡略）」
97,D060,あり,docx,2,進捗状況の共有と課題の確認が行われたことが記録されている,正,本文「進捗共有と課題確認を実施」
189,G004,あり,image,1,「太陽光パネル 屋上配置案」と題されている,正,ゴールド記述「配置図 S-101（太陽光パネル 屋上配置案）」
189,G004,あり,image,2,図面番号はS-101である,正,同上
189,G004,あり,image,3,配置図である,正,同上
189,G004,あり,image,4,黒い格子状のグリッド線が引かれている,正,生成コード: 縦横の黒線を描画
189,G004,あり,image,5,その一部に円形のマークが描かれている,正,生成コード: ellipseを1つ描画
189,G004,あり,image,6,右下に図面情報を記載する枠（タイトルブロック）がある,正,"生成コード: 右下に矩形[850,700,1180,830]"
192,G007,あり,image,1,「組立図 M-401」と題されている,正,ゴールド記述「組立図 M-401（AQUAFLOW センサーユニット）」
192,G007,あり,image,2,AQUAFLOWセンサーユニットに関するものである,正,同上
192,G007,あり,image,3,設計仕様書の画像である,未確認,表題は「組立図」。仕様書であるとの根拠は画像内にない
192,G007,あり,image,4,中央に格子状のグリッド線と円が描かれている,正,生成コード: グリッド線とellipse
192,G007,あり,image,5,右下に製品名と型番が記載されたタイトルブロックがある,正,生成コード: 右下の枠にラベルとサブタイトル
195,G010,あり,image,1,展示会のブース小間割り案を示す平面図（A-202）である,正,ゴールド記述「平面図 A-202（展示会ブース 小間割り案）」
195,G010,あり,image,2,黒い実線で描かれた格子状のグリッドがある,正,生成コード: 黒線のグリッド
195,G010,あり,image,3,円形のマークが一つ配置されている,正,生成コード: ellipseは1つ
195,G010,あり,image,4,右下に図面番号とタイトルを記した枠が設けられている,正,生成コード: 右下の枠
111,G019,あり,image,1,倉庫Bの保管棚および在庫棚の全景を記録するためのものである,正,ゴールド記述「現場写真: 倉庫B 保管棚（在庫棚 全景）」
111,G019,あり,image,2,プレースホルダー画像を含んでいる,正,生成コード: 中央に単色矩形を描くのみ
111,G019,あり,image,3,現場写真の管理用サンプル資料である,正,同上
113,G020,あり,image,1,薄い青色と茶色の背景である,正,"生成コード: 上半分(180,190,200)／下半分(120,110,100)"
113,G020,あり,image,2,中央にグレーの矩形が配置されている,正,"生成コード: 中央矩形(90,100,120)"
113,G020,あり,image,3,左上に「現場写真：デモ機」「AQUAFLOW デモ機 正面」と記述されている,正,ゴールド記述と生成コードのラベル描画位置
113,G020,あり,image,4,製品資料やマニュアル作成時の構成案サンプルとして機能している,未確認,用途に関する推測であり画像内に根拠はない
119,G028,あり,image,1,左上に「現場写真: 撮影スタジオ」「ハギ写真館 見学」というテキストが配置されている,正,ゴールド記述「現場写真: 撮影スタジオ（ハギ写真館 見学）」
119,G028,あり,image,2,中央に大きなグレーの長方形がある,正,生成コード: 中央矩形
119,G028,あり,image,3,背景が上下でライトグレーとブラウンに分かれている,正,生成コード: 上下2色の塗り分け
119,G028,あり,image,4,ハギ写真館の見学に関連するプレゼンテーションの表紙やスライド素材のような構成である,未確認,用途に関する推測であり画像内に根拠はない
110,G030,あり,image,1,建物の屋上における防水状況の点検・確認を目的としている,正,ゴールド記述「現場写真: 屋上（防水状況 確認）」
110,G030,あり,image,2,現場報告書のサンプル画像である,未確認,「報告書」であるとの根拠は画像内にない
110,G030,あり,image,3,左上に「現場写真：屋上」「防水状況 確認」というテキストがある,正,同ゴールド記述
110,G030,あり,image,4,中央に写真のプレースホルダーと思われる枠線付きの長方形が描かれている,正,生成コード: 中央矩形に黒枠
70,X002,なし,pdf,1,KODAMA APIのバージョン0.9ドラフト仕様を記載している,正,本文表題「KODAMA API仕様書 v0.9（ドラフト）」。ファイル名kodama_api_v0.8.pdfとは異なるが本文が正しい
70,X002,なし,pdf,2,模擬文書である,正,本文「1ファイルの上限は5GB（模擬仕様）」
70,X002,なし,pdf,3,認証方式を規定している,正,本文「認証はトークン方式」
70,X002,なし,pdf,4,ファイルアップロードAPIのエンドポイントを規定している,正,本文「エンドポイント: POST /v1/files」
70,X002,なし,pdf,5,検索APIのエンドポイントを規定している,正,本文「エンドポイント: GET /v1/search」
70,X002,なし,pdf,6,エラーコードの定義を規定している,正,本文「400 / 401 / 404 / 429 / 500」
70,X002,なし,pdf,7,APIの利用制限（レート制限）を規定している,正,本文「レート制限は60リクエスト/分」
72,X004,なし,docx,1,ドローンを用いた点検市場に関する市場調査報告書である,正,本文表題「ドローン点検市場 調査報告書」
72,X004,なし,docx,2,2030年に向けた市場規模の予測をまとめている,正,"本文「2030年に約1,200億円へ拡大する予測（模擬数値）」"
72,X004,なし,docx,3,主要な用途セグメントをまとめている,正,本文「用途別では橋梁・インフラ点検が最大セグメント」
72,X004,なし,docx,4,市場参入における傾向をまとめている,正,本文「保険とのセット提供が趨勢」
72,X004,なし,docx,5,自社の強みをまとめている,正,本文「撮影・解析の内製ノウハウが強みになる」
