task_id,測定対象,課題タイプ,質問文（ファイル名を含まない自然文）,正解ファイルID,正解ファイル名,正解ページ/シーン(該当時),正解が存在しない課題か,作成者,独立検証者,検証結果(OK/要修正/破棄),備考
T017,対象,文書・ページ到達,バックアップ手順書で、保存期間が書かれたページは？,A012,バックアップ運用手順書.pdf,3ページ（2章 保存期間）,いいえ,Claude（起案）,,,
T018,対象,文書・ページ到達,入退室管理規程で、機械室の入室ルールのページを開いて,A013,入退室管理規程.pdf,4ページ（3章 機械室）,いいえ,Claude（起案）,,,
T019,対象,文書・ページ到達,経費精算マニュアルで、5万円を超える経費の扱いが書かれたページは？,A014,経費精算マニュアル_2026年版.pdf,4ページ（3章 高額経費）,いいえ,Claude（起案）,,,
T020,対象,文書・ページ到達,撮影機材の手順書で、バッテリー保管のルールのページを開いて,A015,撮影機材取扱手順.pdf,3ページ（2章 バッテリー）,いいえ,Claude（起案）,,,
T021,対象,文書・ページ到達,ブランドガイドラインで、ロゴの最小サイズが書かれたページは？,A016,ブランドガイドライン_v3.pdf,2ページ（1章 ロゴ）,いいえ,Claude（起案）,,,
T022,対象,文書・ページ到達,BCP手順書で、代替拠点がどこか書かれたページを開いて,A017,災害対応手順書_BCP.pdf,3ページ（2章 代替拠点）,いいえ,Claude（起案）,,,
T023,対象,文書・ページ到達,個人情報取扱規程で、開示請求への回答期限のページは？,A018,個人情報取扱規程.pdf,3ページ（2章 開示請求）,いいえ,Claude（起案）,,,
T024,対象,文書・ページ到達,アオバ物流との基本契約書で、再委託の条項があるページを開いて,A031,業務委託基本契約_アオバ物流_模擬.pdf,5ページ（4章 再委託）,いいえ,Claude（起案）,,,
T025,対象,文書・ページ到達,ミカド精機向けの検査基準書で、抜取検査の基準のページは？,A037,品質検査基準書_ミカド精機向け.pdf,3ページ（2章 抜取検査）,いいえ,Claude（起案）,,,
T026,範囲外（動画コーパス不在・付録Bの将来課題）,動画・発話手がかり,会議の録画の中で、来期予算について話しているものを探して,E002-01,（素材確定後に記入）,（シーン秒数を記入）,いいえ,Claude（起案）,,,動画素材（E002枠）の確定後に質問文と正解を最終化 ／ v2.0で本測定の対象外に変更
T027,範囲外（動画コーパス不在・付録Bの将来課題）,動画・発話手がかり,講演動画のうち、データ管理の課題に触れているシーンは？,E002-02,（素材確定後に記入）,（シーン秒数を記入）,いいえ,Claude（起案）,,,動画素材（E002枠）の確定後に質問文と正解を最終化 ／ v2.0で本測定の対象外に変更
T028,範囲外（動画コーパス不在・付録Bの将来課題）,動画・発話手がかり,「セキュリティ」という言葉が出てくる動画を探して,E002-03,（素材確定後に記入）,（シーン秒数を記入）,いいえ,Claude（起案）,,,動画素材（E002枠）の確定後に質問文と正解を最終化 ／ v2.0で本測定の対象外に変更
T029,範囲外（動画コーパス不在・付録Bの将来課題）,動画・発話手がかり,製品のデモを口頭で説明している動画はどれ？,E002-04,（素材確定後に記入）,（シーン秒数を記入）,いいえ,Claude（起案）,,,動画素材（E002枠）の確定後に質問文と正解を最終化 ／ v2.0で本測定の対象外に変更
T030,範囲外（動画コーパス不在・付録Bの将来課題）,動画・発話手がかり,質疑応答で料金について質問が出た動画を探して,E002-05,（素材確定後に記入）,（シーン秒数を記入）,いいえ,Claude（起案）,,,動画素材（E002枠）の確定後に質問文と正解を最終化 ／ v2.0で本測定の対象外に変更
T031,範囲外（動画コーパス不在・付録Bの将来課題）,動画・発話手がかり,自己紹介から始まる録画はどれ？,E002-06,（素材確定後に記入）,（シーン秒数を記入）,いいえ,Claude（起案）,,,動画素材（E002枠）の確定後に質問文と正解を最終化 ／ v2.0で本測定の対象外に変更
T032,範囲外（動画コーパス不在・付録Bの将来課題）,動画・発話手がかり,最後にまとめを述べているシーンを特定の動画から探して,E002-07,（素材確定後に記入）,（シーン秒数を記入）,いいえ,Claude（起案）,,,動画素材（E002枠）の確定後に質問文と正解を最終化 ／ v2.0で本測定の対象外に変更
T033,範囲外（動画コーパス不在・付録Bの将来課題）,動画・発話手がかり,特定の人物名が言及される動画を探して,E002-08,（素材確定後に記入）,（シーン秒数を記入）,いいえ,Claude（起案）,,,動画素材（E002枠）の確定後に質問文と正解を最終化 ／ v2.0で本測定の対象外に変更
T034,範囲外（動画コーパス不在・付録Bの将来課題）,動画・発話手がかり,数字（売上・目標など）を読み上げているシーンがある動画は？,E002-09,（素材確定後に記入）,（シーン秒数を記入）,いいえ,Claude（起案）,,,動画素材（E002枠）の確定後に質問文と正解を最終化 ／ v2.0で本測定の対象外に変更
T035,範囲外（動画コーパス不在・付録Bの将来課題）,動画・発話手がかり,英語の発話が含まれる動画はある？,E002-10,（素材確定後に記入）,（シーン秒数を記入）,いいえ,Claude（起案）,,,動画素材（E002枠）の確定後に質問文と正解を最終化 ／ v2.0で本測定の対象外に変更
T036,範囲外（動画コーパス不在・付録Bの将来課題）,動画・動作/シーン手がかり,タイルをドラッグして並べ替える操作が映っている動画を探して,E003-01,（素材確定後に記入）,（該当チャプター/秒数）,いいえ,Claude（起案）,,,既存のUI操作抽象映像・CC素材の確定後に最終化 ／ v2.0で本測定の対象外に変更
T037,範囲外（動画コーパス不在・付録Bの将来課題）,動画・動作/シーン手がかり,画面上でレイアウトが整列されるシーンがある動画は？,E003-02,（素材確定後に記入）,（該当チャプター/秒数）,いいえ,Claude（起案）,,,既存のUI操作抽象映像・CC素材の確定後に最終化 ／ v2.0で本測定の対象外に変更
T038,範囲外（動画コーパス不在・付録Bの将来課題）,動画・動作/シーン手がかり,カラーバーが表示される映像素材はどれ？,E003-03,（素材確定後に記入）,（該当チャプター/秒数）,いいえ,Claude（起案）,,,既存のUI操作抽象映像・CC素材の確定後に最終化 ／ v2.0で本測定の対象外に変更
T039,範囲外（動画コーパス不在・付録Bの将来課題）,動画・動作/シーン手がかり,動物やキャラクターが登場する映像素材を探して,E003-04,（素材確定後に記入）,（該当チャプター/秒数）,いいえ,Claude（起案）,,,既存のUI操作抽象映像・CC素材の確定後に最終化 ／ v2.0で本測定の対象外に変更
T040,範囲外（動画コーパス不在・付録Bの将来課題）,動画・動作/シーン手がかり,冒頭から無音（発話なし）の素材動画はどれ？,E003-05,（素材確定後に記入）,（該当チャプター/秒数）,いいえ,Claude（起案）,,,既存のUI操作抽象映像・CC素材の確定後に最終化 ／ v2.0で本測定の対象外に変更
T041,対象,属性手がかり,ミカド精機に関係するファイルをすべて挙げて,A022;A032;A037,監査報告・NDA・検査基準書,,いいえ,Claude（起案）,,,正解は3件（旧版・重複を除く）
T042,対象,属性手がかり,退職した伊藤さんに関係する引き継ぎファイルを探して,A024;A036;X004,伊藤引継メモ・棚卸しメモ・ドラフト調査,,いいえ,Claude（起案）,,,X004（ドラフト版）を含めるかは採点基準で定義
T043,対象,属性手がかり,倉庫Bに関するファイル（契約・在庫・図面・写真）を横断で集めて,A029;A034;G001;G003;G005;G012ほか,在庫一覧・賃貸借契約・図面・写真,,いいえ,Claude（起案）,,,正解集合は構成表の「倉庫B」を含む行。Recall採点
T044,対象,属性手がかり,2026年に締結した契約書（模擬）を全部挙げて,A031;A032;A033;A034,契約書フォルダの4件,,いいえ,Claude（起案）,,,
T045,対象,属性手がかり,画像のうち「図面」だけを絞り込んで表示して,G001〜G015,DWG_001〜015,,いいえ,Claude（起案）,,,構造検索/種別絞り込みの利用を想定
T046,対象,否定・不在確認,福岡支店の賃貸契約書はある？,—,（存在しない）,,はい,Claude（起案）,,,正解は「存在しない」。倉庫Bの契約と混同しないか
T047,対象,否定・不在確認,プロジェクトSAKURAに関する資料を探して,—,（存在しない）,,はい,Claude（起案）,,,AQUA/TSUBAME/KODAMAのみ存在
T048,対象,否定・不在確認,2025年度の予算管理表はある？,—,（存在しない）,,はい,Claude（起案）,,,存在するのは2026年度のみ
T049,対象,否定・不在確認,クスノキ建設と締結した秘密保持契約はある？,—,（存在しない）,,はい,Claude（起案）,,,NDAはミカド精機のみ
T050,対象,否定・不在確認,ドローンの飛行許可申請書を探して,—,（存在しない）,,はい,Claude（起案）,,,機材台帳・市場調査は存在するが申請書はない
