file_id,種別,パス,ファイル名,名前乖離,旧版/重複,内容の要点（ゴールド記述）,備考
D030,pdf,共有/経理/請求書/2026/スキャン_0006.pdf,スキャン_0006.pdf,あり,,6月分請求書（模擬・定型）,ノイズ
D031,pdf,共有/経理/請求書/2026/20260705_請求書.pdf,20260705_請求書.pdf,なし,,7月分請求書（模擬・定型）,ノイズ
D032,pdf,共有/経理/請求書/2026/20260805_請求書.pdf,20260805_請求書.pdf,なし,,8月分請求書（模擬・定型）,ノイズ
D033,pdf,共有/経理/請求書/2026/スキャン_0009.pdf,スキャン_0009.pdf,あり,,9月分請求書（模擬・定型）,ノイズ
D034,pdf,共有/経理/請求書/2026/20261005_請求書.pdf,20261005_請求書.pdf,なし,,10月分請求書（模擬・定型）,ノイズ
D035,pdf,共有/経理/請求書/2026/20261105_請求書.pdf,20261105_請求書.pdf,なし,,11月分請求書（模擬・定型）,ノイズ
D036,pdf,共有/経理/請求書/2026/スキャン_0012.pdf,スキャン_0012.pdf,あり,,12月分請求書（模擬・定型）,ノイズ
D037,docx,共有/企画部/会議/アジェンダ/会議アジェンダ_01.docx,会議アジェンダ_01.docx,なし,,アジェンダ（定型）,ノイズ
D038,docx,共有/企画部/会議/アジェンダ/会議アジェンダ_02.docx,会議アジェンダ_02.docx,なし,,アジェンダ（定型）,ノイズ
D039,docx,共有/企画部/会議/アジェンダ/会議アジェンダ_03.docx,会議アジェンダ_03.docx,なし,,アジェンダ（定型）,ノイズ
D040,docx,共有/企画部/会議/アジェンダ/会議アジェンダ_04.docx,会議アジェンダ_04.docx,なし,,アジェンダ（定型）,ノイズ
D041,docx,共有/企画部/会議/アジェンダ/会議アジェンダ_05.docx,会議アジェンダ_05.docx,なし,,アジェンダ（定型）,ノイズ
D042,docx,共有/企画部/会議/アジェンダ/会議アジェンダ_06.docx,会議アジェンダ_06.docx,なし,,アジェンダ（定型）,ノイズ
D043,docx,共有/企画部/会議/アジェンダ/会議アジェンダ_07.docx,会議アジェンダ_07.docx,なし,,アジェンダ（定型）,ノイズ
D044,docx,共有/企画部/会議/アジェンダ/会議アジェンダ_08.docx,会議アジェンダ_08.docx,なし,,アジェンダ（定型）,ノイズ
D045,docx,共有/企画部/会議/アジェンダ/会議アジェンダ_09.docx,会議アジェンダ_09.docx,なし,,アジェンダ（定型）,ノイズ
D046,docx,共有/企画部/会議/アジェンダ/会議アジェンダ_10.docx,会議アジェンダ_10.docx,なし,,アジェンダ（定型）,ノイズ
D047,xlsx,倉庫B関連/在庫/旧/在庫スナップショット_202601.xlsx,在庫スナップショット_202601.xlsx,なし,旧版,月次在庫スナップショット,ノイズ
D048,xlsx,倉庫B関連/在庫/旧/在庫スナップショット_202602.xlsx,在庫スナップショット_202602.xlsx,なし,旧版,月次在庫スナップショット,ノイズ
D049,xlsx,倉庫B関連/在庫/旧/在庫スナップショット_202603.xlsx,在庫スナップショット_202603.xlsx,なし,旧版,月次在庫スナップショット,ノイズ
D050,xlsx,倉庫B関連/在庫/旧/在庫スナップショット_202604.xlsx,在庫スナップショット_202604.xlsx,なし,旧版,月次在庫スナップショット,ノイズ
D051,xlsx,倉庫B関連/在庫/旧/在庫スナップショット_202605.xlsx,在庫スナップショット_202605.xlsx,なし,旧版,月次在庫スナップショット,ノイズ
D052,xlsx,倉庫B関連/在庫/旧/在庫スナップショット_202606.xlsx,在庫スナップショット_202606.xlsx,なし,旧版,月次在庫スナップショット,ノイズ
D053,docx,share_old/bk/old_minutes/mtg_bk_01.docx,mtg_bk_01.docx,あり,旧版,旧会議メモ（内容希薄）,ノイズ
D054,docx,share_old/bk/old_minutes/mtg_bk_02.docx,mtg_bk_02.docx,あり,旧版,旧会議メモ（内容希薄）,ノイズ
D055,docx,share_old/bk/old_minutes/mtg_bk_03.docx,mtg_bk_03.docx,あり,旧版,旧会議メモ（内容希薄）,ノイズ
D056,docx,share_old/bk/old_minutes/mtg_bk_04.docx,mtg_bk_04.docx,あり,旧版,旧会議メモ（内容希薄）,ノイズ
D057,docx,share_old/bk/old_minutes/mtg_bk_05.docx,mtg_bk_05.docx,あり,旧版,旧会議メモ（内容希薄）,ノイズ
D058,docx,share_old/bk/old_minutes/mtg_bk_06.docx,mtg_bk_06.docx,あり,旧版,旧会議メモ（内容希薄）,ノイズ
D059,docx,share_old/bk/old_minutes/mtg_bk_07.docx,mtg_bk_07.docx,あり,旧版,旧会議メモ（内容希薄）,ノイズ
D060,docx,share_old/bk/old_minutes/mtg_bk_08.docx,mtg_bk_08.docx,あり,旧版,旧会議メモ（内容希薄）,ノイズ
D061,docx,share_old/bk/old_minutes/mtg_bk_09.docx,mtg_bk_09.docx,あり,旧版,旧会議メモ（内容希薄）,ノイズ
D062,docx,share_old/bk/old_minutes/mtg_bk_10.docx,mtg_bk_10.docx,あり,旧版,旧会議メモ（内容希薄）,ノイズ
D063,docx,share_old/bk/old_minutes/mtg_bk_11.docx,mtg_bk_11.docx,あり,旧版,旧会議メモ（内容希薄）,ノイズ
D064,docx,share_old/bk/old_minutes/mtg_bk_12.docx,mtg_bk_12.docx,あり,旧版,旧会議メモ（内容希薄）,ノイズ
X001,pptx,share_old/bk/資料 (コピー).pptx,資料 (コピー).pptx,あり,旧版/重複,A006の旧コピー,
X002,pdf,開発/KODAMA/old/kodama_api_v0.8.pdf,kodama_api_v0.8.pdf,なし,旧版/重複,A011のさらに旧版,
X003,pdf,share_old/bk/経費精算マニュアル_2024年版(旧).pdf,経費精算マニュアル_2024年版(旧).pdf,あり,旧版/重複,A014の旧年版,
X004,docx,田中さん引継/デスクトップ/ドローン市場調査(ドラフト).docx,ドローン市場調査(ドラフト).docx,なし,旧版/重複,A019のドラフト版,
X005,xlsx,共有/経理/予算/予算管理表_2026年度 (コピー).xlsx,予算管理表_2026年度 (コピー).xlsx,あり,旧版/重複,A025のコピー,
X006,xlsx,share_old/bk/工程表_PJAQUA_v1.xlsx,工程表_PJAQUA_v1.xlsx,なし,旧版/重複,A028の旧版,
G001,image,共有/設計図面/DWG_001.png,DWG_001.png,あり,,図面: 配管図 P-101（倉庫B 給排水設備）,
G002,image,共有/設計図面/DWG_002.png,DWG_002.png,あり,,図面: 平面図 A-201（本社3F レイアウト）,
G003,image,共有/設計図面/DWG_003.png,DWG_003.png,あり,,図面: 電気系統図 E-301（倉庫B 電源盤）,
G004,image,共有/設計図面/DWG_004.png,DWG_004.png,あり,,図面: 配置図 S-101（太陽光パネル 屋上配置案）,
G005,image,共有/設計図面/DWG_005.png,DWG_005.png,あり,,図面: 平面図 A-101（倉庫B 保管棚レイアウト）,
G006,image,共有/設計図面/DWG_006.png,DWG_006.png,あり,,図面: 配管図 P-102（浄水設備 サンプリング配管）,
G007,image,共有/設計図面/DWG_007.png,DWG_007.png,あり,,図面: 組立図 M-401（AQUAFLOW センサーユニット）,
G008,image,共有/設計図面/DWG_008.png,DWG_008.png,あり,,図面: 外形図 M-402（AQUAFLOW 筐体）,
G009,image,共有/設計図面/DWG_009.png,DWG_009.png,あり,,図面: 系統図 N-101（社内ネットワーク構成）,
G010,image,共有/設計図面/DWG_010.png,DWG_010.png,あり,,図面: 平面図 A-202（展示会ブース 小間割り案）,
G011,image,共有/設計図面/DWG_011.png,DWG_011.png,あり,,図面: 配線図 E-302（デモ機 配線）,
G012,image,共有/設計図面/DWG_012.png,DWG_012.png,あり,,図面: 基礎図 C-101（倉庫B 基礎伏せ）,
G013,image,共有/設計図面/DWG_013.png,DWG_013.png,あり,,図面: 立面図 A-301（本社 外観）,
G014,image,共有/設計図面/DWG_014.png,DWG_014.png,あり,,図面: 詳細図 M-403（センサー取付金具）,
G015,image,共有/設計図面/DWG_015.png,DWG_015.png,あり,,図面: 配管図 P-103（薬品保管庫 排気）,
G016,image,撮影素材管理/写真/IMG_20260516_016.jpg,IMG_20260516_016.jpg,あり,,現場写真: 倉庫B 照明（照度不足箇所の記録 2026-06）,
G017,image,撮影素材管理/写真/IMG_20260617_017.jpg,IMG_20260617_017.jpg,あり,,現場写真: 展示会ブース設営（2026-11 幕張 設営中）,
G018,image,撮影素材管理/写真/IMG_20260118_018.jpg,IMG_20260118_018.jpg,あり,,現場写真: 太陽光パネル候補地（本社屋上 2026-05）,
G019,image,撮影素材管理/写真/IMG_20260219_019.jpg,IMG_20260219_019.jpg,あり,,現場写真: 倉庫B 保管棚（在庫棚 全景）,
G020,image,撮影素材管理/写真/IMG_20260320_020.jpg,IMG_20260320_020.jpg,あり,,現場写真: デモ機（AQUAFLOW デモ機 正面）,
G021,image,撮影素材管理/写真/IMG_20260421_021.jpg,IMG_20260421_021.jpg,あり,,現場写真: 機材庫（カメラ機材 保管状況）,
G022,image,撮影素材管理/写真/IMG_20260522_022.jpg,IMG_20260522_022.jpg,あり,,現場写真: ミカド精機 第2工場（監査時撮影 2026-05）,
G023,image,撮影素材管理/写真/IMG_20260623_023.jpg,IMG_20260623_023.jpg,あり,,現場写真: 配送車両（TSUBAME実証 車載端末）,
G024,image,撮影素材管理/写真/IMG_20260124_024.jpg,IMG_20260124_024.jpg,あり,,現場写真: サーバー室（機械室 入口）,
G025,image,撮影素材管理/写真/IMG_20260225_025.jpg,IMG_20260225_025.jpg,あり,,現場写真: 会議室（本社3F 会議室）,
G026,image,撮影素材管理/写真/IMG_20260326_026.jpg,IMG_20260326_026.jpg,あり,,現場写真: 倉庫B 外観（南側から撮影）,
G027,image,撮影素材管理/写真/IMG_20260427_027.jpg,IMG_20260427_027.jpg,あり,,現場写真: 薬品保管庫（施錠状況の記録）,
G028,image,撮影素材管理/写真/IMG_20260528_028.jpg,IMG_20260528_028.jpg,あり,,現場写真: 撮影スタジオ（ハギ写真館 見学）,
G029,image,撮影素材管理/写真/IMG_20260629_029.jpg,IMG_20260629_029.jpg,あり,,現場写真: 受付（来訪者記帳台）,
G030,image,撮影素材管理/写真/IMG_20260130_030.jpg,IMG_20260130_030.jpg,あり,,現場写真: 屋上（防水状況 確認）,
E001,pdf(外部),（未生成・調達枠）,—,—,,政府公開の白書・報告書PDF×10本（例: 経済財政白書の章別PDF、情報通信白書）を長尺PDF枠としてアップロードする,ページ到達課題の追加素材
E002,video(外部),（未生成・調達枠）,—,—,,発話のある動画×10本（自社セミナー録画・CCライセンス講演等、1本10〜60分）,動画・発話課題 T026-T035用
E003,video(外部),（未生成・調達枠）,—,—,,無発話の素材動画×5本（CCライセンス映像素材。既存のUI操作抽象映像も可）,動画・動作課題 T036-T040用
